\begin{table}
\begin{tabular}{ccccccccccccccccc}
field & ID & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR & distance & unitless_dist \\
 &  &  &  &  &  &  &  &  &  &  &  &  &  &  & $\mathrm{Mpc}$ &  \\
COS & 1855 & 10.4292 & 0.75 & 5.28 & 0.2 & 10.65 & 0.122 & 0.0194 & 42.5205466956 & 44.2242368546 & 0.877449368377 & 43.0434653298 & 44.5543316623 & -1.24462916152 & 1532.61957274 & 3.18543436753 \\
EGS & 10811 & 8.8339 & 0.7508 & 5.28 & 0.3 & 10.81 & 0.031 & 0.0489 & 43.0820538248 & 44.3709711474 & 1.02418366114 & 43.2338162466 & 44.7922703083 & -1.00669051552 & 1533.23180841 & 3.18560782055 \\
UDS & 6775 & 10.372912003 & 0.7517 & 3.96 & 0.05 & 10.75 & 0.108 & -0.0001 & nan & nan & nan & nan & nan & 0.0 & 1533.91917147 & 3.18580247545 \\
COS & 10454 & 8.49693 & 0.752 & 4.62 & 0.2 & 10.22 & 0.035 & 0.0194 & 42.0905466956 & 43.7942368546 & 0.447449368377 & 42.8976953298 & 44.3721191623 & -1.42684166152 & 1534.14796304 & 3.18586724777 \\
UDS & 24197 & 10.1760912591 & 0.753 & 3.5 & 0.1 & 10.68 & 0.136 & 0.0031 & 41.7541066595 & 44.2613965617 & 0.914609075465 & 42.7836421576 & 44.229552697 & -1.56940812682 & 1534.90941369 & 3.18608274965 \\
COS & 14797 & 9.20137 & 0.754 & 5.28 & 0.2 & 10.79 & 0.07 & 0.0194 & 42.6605466956 & 44.3642368546 & 1.01744936838 & 43.0909253298 & 44.6136566623 & -1.18530416152 & 1535.66903962 & 3.18629762862 \\
UDS & 23927 & 10.0530784435 & 0.7583 & 5.2800002 & 0.1 & 10.67 & 0.116 & 0.0031 & 41.7441066595 & 44.2513965617 & 0.904609075465 & 42.7802521576 & 44.225315197 & -1.57364562682 & 1538.91472699 & 3.18721455575 \\
EGS & 17077 & 10.1782 & 0.759 & 3.5 & 0.1 & 11.23 & 0.312 & 0.0031 & 42.3041066595 & 44.8113965617 & 1.46460907546 & 42.9700921576 & 44.462615197 & -1.33634562682 & 1539.43992794 & 3.18736274652 \\
UDS & 15468 & 9.54530711647 & 0.759 & 4.6199999 & 0.1 & 10.36 & 0.057 & 0.0031 & 41.4341066595 & 43.9413965617 & 0.594609075465 & 42.6751621576 & 44.093952697 & -1.70500812682 & 1539.43992794 & 3.18736274652 \\
EGS & 30507 & 10.7484 & 0.7603 & 5.28 & 0.3 & 11.05 & 0.226 & 0.0489 & 43.3220538248 & 44.6109711474 & 1.26418366114 & 43.3151762466 & 44.8939703083 & -0.904990515524 & 1540.41295869 & 3.18763716346 \\
COS & 2500 & 10.4122 & 0.761 & 5.28 & 0.2 & 11.18 & 0.23 & 0.0194 & 43.0505466956 & 44.7542368546 & 1.40744936838 & 43.2231353298 & 44.7789191623 & -1.02004166152 & 1540.93563932 & 3.1877844998 \\
GDS & 24554 & 10.77 & 0.761 & 5.28 & 0.3 & 11.52 & 0.756 & 0.0489 & 43.7920538248 & 45.0809711474 & 1.73418366114 & 43.4745062466 & 45.0931328083 & -0.705828015524 & 1540.93563932 & 3.1877844998 \\
EGS & 29750 & 9.44196 & 0.762 & 4.62 & 0.1 & 10.11 & 0.03 & 0.0031 & 41.1841066595 & 43.6913965617 & 0.344609075465 & 42.5904121576 & 43.988015197 & -1.81094562682 & 1541.68080024 & 3.18799446383 \\
UDS & 12515 & 8.19312459835 & 0.762 & 5.9400001 & 0.2 & 10.33 & 0.046 & 0.0194 & 42.2005466956 & 43.9042368546 & 0.557449368377 & 42.9349853298 & 44.4187316623 & -1.38022916152 & 1541.68080024 & 3.18799446383 \\
EGS & 25400 & 9.68499 & 0.762 & 4.62 & 0.1 & 10.93 & 0.062 & 0.0031 & 42.0041066595 & 44.5113965617 & 1.16460907546 & 42.8683921576 & 44.335490197 & -1.46347062682 & 1541.68080024 & 3.18799446383 \\
EGS & 17004 & 10.0071 & 0.7627 & 4.62 & 0.3 & 10.91 & 0.169 & 0.0489 & 43.1820538248 & 44.4709711474 & 1.12418366114 & 43.2677162466 & 44.8346453083 & -0.964315515524 & 1542.20134663 & 3.18814107801 \\
EGS & 16536 & 8.61834 & 0.765 & 4.62 & 0.2 & 10.18 & 0.025 & 0.0194 & 42.0505466956 & 43.7542368546 & 0.407449368377 & 42.8841353298 & 44.3551691623 & -1.44379166152 & 1543.90554756 & 3.18862072772 \\
EGS & 19336 & 9.75974 & 0.767 & 3.96 & 0.1 & 10.86 & 0.107 & 0.0031 & 41.9341066595 & 44.4413965617 & 1.09460907546 & 42.8446621576 & 44.305827697 & -1.49313312682 & 1545.37980247 & 3.18903523188 \\
EGS & 5803 & 9.96543 & 0.767 & 3.5 & 0.1 & 11.39 & 0.489 & 0.0031 & 42.4641066595 & 44.9713965617 & 1.62460907546 & 43.0243321576 & 44.530415197 & -1.26854562682 & 1545.37980247 & 3.18903523188 \\
UDS & 6342 & 10.3074960379 & 0.767 & 5.2800002 & 0.1 & 11.26 & 0.112 & 0.0031 & 42.3341066595 & 44.8413965617 & 1.49460907546 & 42.9802621576 & 44.475327697 & -1.32363312682 & 1545.37980247 & 3.18903523188 \\
GDS & 24003 & 9.67 & 0.768 & 8.58 & 0.1 & 10.77 & 0.056 & 0.0031 & 41.8441066595 & 44.3513965617 & 1.00460907546 & 42.8141521576 & 44.267690197 & -1.53127062682 & 1546.11426776 & 3.18924158792 \\
EGS & 25232 & 10.3451 & 0.768 & 3.96 & 0.1 & 10.46 & 0.203 & 0.0031 & 41.5341066595 & 44.0413965617 & 0.694609075465 & 42.7090621576 & 44.136327697 & -1.66263312682 & 1546.11426776 & 3.18924158792 \\
UDS & 24126 & 9.95279244304 & 0.769 & 3.5 & 0.6 & 10.28 & 0.066 & 0.2166 & 43.198403418 & 43.7567285329 & 0.409941046678 & 43.2732587587 & 44.8415734484 & -0.95738737542 & 1546.84696307 & 3.189447349 \\
UDS & 13264 & 9.66745295289 & 0.771 & 4.6199999 & 0.1 & 10.74 & 0.099 & 0.0031 & 41.8141066595 & 44.3213965617 & 0.974609075465 & 42.8039821576 & 44.254977697 & -1.54398312682 & 1548.30705805 & 3.18985709355 \\
UDS & 20939 & 9.67486114074 & 0.771 & 5.2800002 & 0.1 & 10.55 & 0.054 & 0.0031 & 41.6241066595 & 44.1313965617 & 0.784609075465 & 42.7395721576 & 44.174465197 & -1.62449562682 & 1548.30705805 & 3.18985709355 \\
EGS & 8172 & 9.28725 & 0.7764 & 5.28 & 0.1 & 10.27 & 0.033 & 0.0031 & 41.3441066595 & 43.8513965617 & 0.504609075465 & 42.6446521576 & 44.055815197 & -1.74314562682 & 1552.21424503 & 3.19095166474 \\
EGS & 27292 & 10.12 & 0.777 & 3.96 & 0.2 & 10.83 & 0.19 & 0.0194 & 42.7005466956 & 44.4042368546 & 1.05744936838 & 43.1044853298 & 44.6306066623 & -1.16835416152 & 1552.64523453 & 3.19107223468 \\
UDS & 12222 & 10.8463371121 & 0.7778 & 4.6199999 & 0.2 & 10.97 & 0.141 & 0.0194 & 42.8405466956 & 44.5442368546 & 1.19744936838 & 43.1519453298 & 44.6899316623 & -1.10902916152 & 1553.21891404 & 3.19123267045 \\
EGS & 9041 & 9.64935 & 0.778 & 3.96 & 0.1 & 10.66 & 0.077 & 0.0031 & 41.7341066595 & 44.2413965617 & 0.894609075465 & 42.7768621576 & 44.221077697 & -1.57788312682 & 1553.36216032 & 3.1912727216 \\
EGS & 25930 & 9.51376 & 0.778 & 4.62 & 0.1 & 10.42 & 0.046 & 0.0031 & 41.4941066595 & 44.0013965617 & 0.654609075465 & 42.6955021576 & 44.119377697 & -1.67958312682 & 1553.36216032 & 3.1912727216 \\
UDS & 17014 & 10.1271047984 & 0.779 & 4.6199999 & 0.1 & 11.29 & 0.334 & 0.0031 & 42.3641066595 & 44.8713965617 & 1.52460907546 & 42.9904321576 & 44.488040197 & -1.31092062682 & 1554.07735162 & 3.19147263129 \\
EGS & 25580 & 10.2755 & 0.779 & 4.62 & 0.3 & 11.21 & 0.198 & 0.0489 & 43.4820538248 & 44.7709711474 & 1.42418366114 & 43.3694162466 & 44.9617703083 & -0.837190515524 & 1554.07735162 & 3.19147263129 \\
EGS & 8938 & 9.94238 & 0.782 & 5.28 & 0.1 & 10.76 & 0.102 & 0.0031 & 41.8341066595 & 44.3413965617 & 0.994609075465 & 42.8107621576 & 44.263452697 & -1.53550812682 & 1556.21255358 & 3.19206891434 \\
EGS & 21809 & 9.05481 & 0.784 & 5.28 & 0.2 & 10.32 & 0.036 & 0.0194 & 42.1905466956 & 43.8942368546 & 0.547449368377 & 42.9315953298 & 44.4144941623 & -1.38446666152 & 1557.62741315 & 3.19246358186 \\
UDS & 15679 & 10.2253092817 & 0.785 & 5.2800002 & 0.3 & 10.99 & 0.099 & 0.0489 & 43.2620538248 & 44.5509711474 & 1.20418366114 & 43.2948362466 & 44.8685453083 & -0.930415515524 & 1558.33227084 & 3.19266006438 \\
UDS & 7247 & 10.4785664956 & 0.786 & 3.96 & 0.2 & 11.06 & 0.124 & 0.0194 & 42.9305466956 & 44.6342368546 & 1.28744936838 & 43.1824553298 & 44.7280691623 & -1.07089166152 & 1559.03541842 & 3.19285598167 \\
UDS & 14014 & 9.74818802701 & 0.787 & 4.6199999 & 0.3 & 11.17 & 0.196 & 0.0489 & 43.4420538248 & 44.7309711474 & 1.38418366114 & 43.3558562466 & 44.9448203083 & -0.854140515524 & 1559.73685933 & 3.19305133542 \\
COS & 543 & 10.5346 & 0.788 & 4.62 & 0.3 & 10.65 & 0.151 & 0.0489 & 42.9220538248 & 44.2109711474 & 0.864183661141 & 43.1795762466 & 44.7244703083 & -1.07449051552 & 1560.43659703 & 3.1932461273 \\
EGS & 4244 & 10.2527 & 0.789 & 5.28 & 0.3 & 11.31 & 0.369 & 0.0489 & 43.5820538248 & 44.8709711474 & 1.52418366114 & 43.4033162466 & 45.0041453083 & -0.794815515524 & 1561.13463495 & 3.19344035899 \\
COS & 8142 & 10.3407 & 0.79 & 4.62 & 0.3 & 10.74 & 0.26 & 0.0489 & 43.0120538248 & 44.3009711474 & 0.954183661141 & 43.2100862466 & 44.7626078083 & -1.03635301552 & 1561.83097652 & 3.19363403214 \\
COS & 27642 & 9.66947 & 0.79 & 3.96 & 0.1 & 10.54 & 0.062 & 0.0031 & 41.6141066595 & 44.1213965617 & 0.774609075465 & 42.7361821576 & 44.170227697 & -1.62873312682 & 1561.83097652 & 3.19363403214 \\
COS & 4869 & 9.77306 & 0.79 & 5.94 & 0.5 & 10.57 & 0.098 & 0.1475 & 43.321536986 & 44.0834393534 & 0.736651867131 & 43.3150010383 & 44.8937512978 & -0.905209525969 & 1561.83097652 & 3.19363403214 \\
EGS & 21205 & 10.1072 & 0.792 & 4.62 & 0.3 & 11.28 & 0.148 & 0.0489 & 43.5520538248 & 44.8409711474 & 1.49418366114 & 43.3931462466 & 44.9914328083 & -0.807528015524 & 1563.2185843 & 3.19401970951 \\
COS & 24980 & 10.4451 & 0.7926 & 3.5 & 0.1 & 10.77 & 0.066 & 0.0031 & 41.8441066595 & 44.3513965617 & 1.00460907546 & 42.8141521576 & 44.267690197 & -1.53127062682 & 1563.63355023 & 3.19413498033 \\
COS & 5356 & 10.579 & 0.7937 & 4.62 & 0.2 & 11.13 & 0.3 & 0.0194 & 43.0005466956 & 44.7042368546 & 1.35744936838 & 43.2061853298 & 44.7577316623 & -1.04122916152 & 1564.39274703 & 3.19434579377 \\
UDS & 15453 & 9.9642596302 & 0.794 & 4.6199999 & 0.1 & 10.46 & 0.058 & 0.0031 & 41.5341066595 & 44.0413965617 & 0.694609075465 & 42.7090621576 & 44.136327697 & -1.66263312682 & 1564.59944765 & 3.19440317259 \\
EGS & 17789 & 10.2528 & 0.796 & 5.28 & 0.2 & 11.41 & 0.25 & 0.0194 & 43.2805466956 & 44.9842368546 & 1.63744936838 & 43.3011053298 & 44.8763816623 & -0.922579161519 & 1565.97359373 & 3.19478443448 \\
UDS & 20874 & 10.0827853703 & 0.796 & 5.2800002 & 0.3 & 10.83 & 0.147 & 0.0489 & 43.1020538248 & 44.3909711474 & 1.04418366114 & 43.2405962466 & 44.8007453083 & -0.998215515524 & 1565.97359373 & 3.19478443448 \\
UDS & 21633 & 9.66275783168 & 0.797 & 3.96 & 0.3 & 10.83 & 0.095 & 0.0489 & 43.1020538248 & 44.3909711474 & 1.04418366114 & 43.2405962466 & 44.8007453083 & -0.998215515524 & 1566.65815626 & 3.19497424405 \\
UDS & 13502 & 9.07554696139 & 0.798 & 5.9400001 & 0.5 & 11.75 & 0.838 & 0.1475 & 44.501536986 & 45.2634393534 & 1.91665186713 & 43.7150210383 & 45.3937762978 & -0.405184525969 & 1567.3410496 & 3.19516350818 \\
UDS & 9887 & 10.4857214265 & 0.798 & 4.6199999 & 0.2 & 10.87 & 0.222 & 0.0194 & 42.7405466956 & 44.4442368546 & 1.09744936838 & 43.1180453298 & 44.6475566623 & -1.15140416152 & 1567.3410496 & 3.19516350818 \\
COS & 22365 & 10.3914 & 0.8 & 4.62 & 0.4 & 11.57 & 0.592 & 0.0916 & 44.1146404394 & 45.1110220912 & 1.76423460501 & 43.5838631089 & 45.2298288862 & -0.569131937611 & 1568.70184219 & 3.19554040656 \\
EGS & 29833 & 9.81946 & 0.8 & 4.62 & 0.3 & 10.61 & 0.062 & 0.0489 & 42.8820538248 & 44.1709711474 & 0.824183661141 & 43.1660162466 & 44.7075203083 & -1.09144051552 & 1568.70184219 & 3.19554040656 \\
COS & 12296 & 9.28987 & 0.8 & 5.28 & 0.7 & 11.17 & 0.185 & 0.2989 & 44.2282708807 & 44.5985249328 & 1.25173744658 & 43.6223838286 & 45.2779797857 & -0.520981038079 & 1568.70184219 & 3.19554040656 \\
COS & 25559 & 8.93111 & 0.8006 & 7.92 & 0.6 & 10.45 & 0.05 & 0.2166 & 43.368403418 & 43.9267285329 & 0.579941046678 & 43.3308887587 & 44.9136109484 & -0.88534987542 & 1569.10878464 & 3.1956530538 \\
EGS & 29068 & 9.73957 & 0.801 & 5.28 & 0.1 & 10.69 & 0.076 & 0.0031 & 41.7641066595 & 44.2713965617 & 0.924609075465 & 42.7870321576 & 44.233790197 & -1.56517062682 & 1569.37974814 & 3.19572804401 \\
UDS & 19574 & 9.59879050676 & 0.8035 & 5.2800002 & 0.3 & 10.95 & 0.089 & 0.0489 & 43.2220538248 & 44.5109711474 & 1.16418366114 & 43.2812762466 & 44.8515953083 & -0.947365515524 & 1571.06727628 & 3.19619478281 \\
UDS & 22229 & 9.48995847942 & 0.8045 & 4.6199999 & 0.1 & 10.8 & 0.112 & 0.0031 & 41.8741066595 & 44.3813965617 & 1.03460907546 & 42.8243221576 & 44.280402697 & -1.51855812682 & 1571.73940158 & 3.19638054053 \\
UDS & 9738 & 10.6618126855 & 0.8048 & 3.96 & 0.1 & 10.96 & 0.19 & 0.0031 & 42.0341066595 & 44.5413965617 & 1.19460907546 & 42.8785621576 & 44.348202697 & -1.45075812682 & 1571.94071841 & 3.19643616374 \\
EGS & 11104 & 10.2644 & 0.805 & 4.62 & 0.3 & 11.02 & 0.152 & 0.0489 & 43.2920538248 & 44.5809711474 & 1.23418366114 & 43.3050062466 & 44.8812578083 & -0.917703015524 & 1572.07484747 & 3.19647321923 \\
UDS & 15393 & 9.85186960073 & 0.805 & 5.2800002 & 0.1 & 10.74 & 0.126 & 0.0031 & 41.8141066595 & 44.3213965617 & 0.974609075465 & 42.8039821576 & 44.254977697 & -1.54398312682 & 1572.07484747 & 3.19647321923 \\
EGS & 6884 & 9.29 & 0.8054 & 3.96 & 0.2 & 10.98 & 0.115 & 0.0194 & 42.8505466956 & 44.5542368546 & 1.20744936838 & 43.1553353298 & 44.6941691623 & -1.10479166152 & 1572.34290851 & 3.19654726628 \\
EGS & 15727 & 10.9604 & 0.806 & 3.96 & 0.2 & 11.12 & 0.133 & 0.0194 & 42.9905466956 & 44.6942368546 & 1.34744936838 & 43.2027953298 & 44.7534941623 & -1.04546666152 & 1572.7445078 & 3.19665817725 \\
UDS & 15792 & 10.2405492483 & 0.806 & 3.96 & 0.1 & 10.59 & 0.074 & 0.0031 & 41.6641066595 & 44.1713965617 & 0.824609075465 & 42.7531321576 & 44.191415197 & -1.60754562682 & 1572.7445078 & 3.19665817725 \\
EGS & 24344 & 9.43207 & 0.806 & 5.28 & 0.1 & 10.7 & 0.042 & 0.0031 & 41.7741066595 & 44.2813965617 & 0.934609075465 & 42.7904221576 & 44.238027697 & -1.56093312682 & 1572.7445078 & 3.19665817725 \\
GDS & 21118 & 9.51 & 0.8068 & 3.96 & 0.02 & 10.05 & 0.031 & -0.000436 & nan & nan & nan & nan & nan & 0.0 & 1573.27905569 & 3.19680576115 \\
UDS & 3768 & 10.6180480967 & 0.807 & 5.2800002 & 0.1 & 11.15 & 0.271 & 0.0031 & 42.2241066595 & 44.7313965617 & 1.38460907546 & 42.9429721576 & 44.428715197 & -1.37024562682 & 1573.41252895 & 3.1968426041 \\
COS & 28370 & 8.84359 & 0.807 & 5.28 & 0.2 & 10.18 & 0.026 & 0.0194 & 42.0505466956 & 43.7542368546 & 0.407449368377 & 42.8841353298 & 44.3551691623 & -1.44379166152 & 1573.41252895 & 3.1968426041 \\
UDS & 3554 & 10.0253058653 & 0.807 & 4.6199999 & 0.1 & 11.5 & 0.411 & 0.0031 & 42.5741066595 & 45.0813965617 & 1.73460907546 & 43.0616221576 & 44.577027697 & -1.22193312682 & 1573.41252895 & 3.1968426041 \\
EGS & 4794 & 10.3511 & 0.807 & 5.28 & 0.2 & 10.93 & 0.191 & 0.0194 & 42.8005466956 & 44.5042368546 & 1.15744936838 & 43.1383853298 & 44.6729816623 & -1.12597916152 & 1573.41252895 & 3.1968426041 \\
EGS & 29569 & 8.90587 & 0.8078 & 3.96 & 0.3 & 10.0 & 0.026 & 0.0489 & 42.2720538248 & 43.5609711474 & 0.214183661141 & 42.9592262466 & 44.4490328083 & -1.34992801552 & 1573.94576787 & 3.19698976416 \\
EGS & 20538 & 9.92564 & 0.808 & 10.56 & 0.4 & 10.95 & 0.226 & 0.0916 & 43.4946404394 & 44.4910220912 & 1.14423460501 & 43.3736831089 & 44.9671038862 & -0.831856937611 & 1574.07891421 & 3.1970265013 \\
EGS & 2146 & 9.89026 & 0.8084 & 5.28 & 0.1 & 10.56 & 0.063 & 0.0031 & 41.6341066595 & 44.1413965617 & 0.794609075465 & 42.7429621576 & 44.178702697 & -1.62025812682 & 1574.345011 & 3.19709991224 \\
EGS & 28269 & 9.47885 & 0.809 & 10.56 & 0.1 & 10.67 & 0.066 & 0.0031 & 41.7441066595 & 44.2513965617 & 0.904609075465 & 42.7802521576 & 44.225315197 & -1.57364562682 & 1574.74366687 & 3.19720987043 \\
COS & 19671 & 9.95086 & 0.81 & 4.62 & 0.1 & 10.62 & 0.073 & 0.0031 & 41.6941066595 & 44.2013965617 & 0.854609075465 & 42.7633021576 & 44.204127697 & -1.59483312682 & 1575.40679022 & 3.19739271301 \\
