field	ID	fagn_mir  lir	s24(mJy)
COS      1   0.20  10.34  0.023
COS     10   0.60  10.69  0.023
COS  10005   0.00   9.87  0.023
COS   1001   0.30  10.42  0.023
COS  10012   0.20  10.51  0.023
COS  10013   0.20  11.46  0.081
COS  10015   0.30  10.80  0.023
COS  10031   0.90   9.98  0.023
COS  10036   0.40   9.83  0.023
COS  10039   0.10   9.65  0.023
COS  10040   0.20  10.21  0.023
COS  10049   0.00  10.30  0.361
COS  10050   0.00  10.18  0.023
COS  10053   0.60  10.86  0.023
COS  10056   0.20  10.80  0.023
COS  10063   0.30   9.32  0.023
COS  10067   0.10  10.54  0.065
COS  10069   0.00  10.45  0.023
COS   1007   0.10  10.29  0.081
COS  10071   0.10  10.19  0.023
COS  10072   0.20  10.84  0.023
COS  10079   0.30  10.74  0.023
COS  10080   0.50   9.26  0.023
COS  10081   0.10  10.74  0.023
COS  10091   0.20  10.77  0.023
COS  10095   1.00  10.31  0.023
COS  10096   0.20  10.63  0.023
COS  10104   0.30  10.71  0.023
COS  10106   0.20  10.68  0.023
COS  10114   0.20  10.09  0.023
COS  10115   0.20   9.50  0.023
COS  10116   0.50   9.86  0.023
COS  10117   0.30  10.52  0.023
COS  10118   0.00  10.87  0.064
COS   1012   0.90  10.49  0.023
COS  10120   1.00   9.67  0.023
COS  10122   0.00  10.76  0.118
COS  10140   0.90  10.48  0.023
COS  10143   0.00  10.44  0.554
COS  10144   0.30  10.27  0.023
COS  10158   0.63  11.56  0.023
COS  10159   0.20  10.46  0.023
COS   1017   0.30  10.39  0.023
COS  10172   0.20   9.78  0.023
COS  10178   0.90  10.47  0.023
COS  10179   0.70   9.98  0.023
COS  10181   0.20  11.17  0.023
COS  10186   0.80  10.32  0.023
COS  10188   0.10  10.44  0.023
COS  10189   0.20  11.38  0.093
COS  10193   0.10   9.39  0.023
COS  10199   0.60   9.14  0.023
COS  10206   0.50  10.32  0.023
COS  10207   0.30   8.53  0.023
COS  10208   0.50   9.11  0.023
COS   1022   0.00  10.63  0.146
COS  10222   0.90  10.39  0.023
COS  10225   0.20  10.16  0.023
COS  10226   0.20  10.87  0.023
