\begin{table}
\begin{tabular}{cccccccc}
field & ID & HLx & lbol & BHAR_xray & M_med & zbest & BHAR \\
GDS & 24554 & 42.1399 & 43.424875 & -2.37408582379 & 10.77 & 0.761 & -0.705828015524 \\
UDS & 24126 & 42.94556 & 44.43195 & -1.36701082379 & 9.95279244304 & 0.769 & -0.95738737542 \\
UDS & 9738 & 42.67783 & 44.0972875 & -1.70167332379 & 10.6618126855 & 0.8048 & -1.45075812682 \\
EGS & 15727 & 43.57463 & 45.2182875 & -0.580673323789 & 10.9604 & 0.806 & -1.04546666152 \\
GDS & 1864 & 41.94347 & 43.1793375 & -2.61962332379 & 9.61 & 0.824 & -1.56940812682 \\
EGS & 24456 & 43.43375 & 45.0421875 & -0.756773323789 & 10.1984 & 0.833 & -1.29397062682 \\
COS & 15095 & 43.96021 & 45.7002625 & -0.0986983237891 & 10.279 & 0.837 & -1.24735812682 \\
GDS & 24716 & 43.92344 & 45.6543 & -0.144660823789 & 9.85 & 0.837 & -0.285219437611 \\
GDS & 20585 & 41.99517 & 43.2439625 & -2.55499832379 & 9.46 & 0.839 & -0.697353015524 \\
COS & 27475 & 43.27909 & 44.8488625 & -0.950098323789 & 10.7209 & 0.853 & -1.34058312682 \\
EGS & 26924 & 42.63388 & 44.04235 & -1.75661082379 & 10.4082 & 0.888 & -1.47618312682 \\
COS & 19748 & 43.78392 & 45.4799 & -0.319060823789 & 10.7455 & 0.9 & -0.867072025969 \\
EGS & 26812 & 42.48889 & 43.8611125 & -1.93784832379 & 11.178 & 0.9152 & -0.743965515524 \\
UDS & 5962 & 43.43379 & 45.0422375 & -0.756723323789 & 10.4313637642 & 0.9208 & -0.502647025969 \\
EGS & 11396 & 42.28332 & 43.60415 & -2.19481082379 & 10.6952 & 0.93 & -0.862615515524 \\
EGS & 23945 & 43.31355 & 44.8919375 & -0.907023323789 & 10.9 & 0.937 & -0.560656937611 \\
GDS & 17796 & 43.09006 & 44.612575 & -1.18638582379 & 10.94 & 0.952 & -0.760915515524 \\
GDS & 18425 & 42.90408 & 44.3801 & -1.41886082379 & 10.53 & 0.955 & -1.06514562682 \\
UDS & 5343 & 43.5762 & 45.22025 & -0.578710823789 & 10.8709888138 & 0.963 & -0.561972025969 \\
EGS & 3025 & 42.93451 & 44.4181375 & -1.38082332379 & 10.2645 & 0.97 & -1.56940812682 \\
GDS & 22040 & 43.20574 & 44.757175 & -1.04178582379 & 10.46 & 0.979 & -1.28549562682 \\
COS & 18829 & 44.16354 & 45.954425 & 0.155464176211 & 10.7645 & 0.979 & -0.883803015524 \\
EGS & 2021 & 43.69721 & 45.3715125 & -0.427448323789 & 10.4536 & 0.997 & -0.875328015524 \\
COS & 4092 & 42.98044 & 44.47555 & -1.32341082379 & 10.3458 & 1.023 & -1.17955812682 \\
GDS & 24497 & 43.80767 & 45.5095875 & -0.289373323789 & 10.53 & 1.031 & -0.190281880546 \\
GDS & 16440 & 43.0992 & 44.624 & -1.17496082379 & 10.63 & 1.033 & -0.859016661519 \\
GDS & 22173 & 43.66548 & 45.33185 & -0.467110823789 & 9.63 & 1.037 & -0.705828015524 \\
UDS & 17737 & 43.34389 & 44.9298625 & -0.869098323789 & 10.2504200023 & 1.044 & -0.786559525969 \\
UDS & 21315 & 42.81917 & 44.2739625 & -1.52499832379 & 10.2624510897 & 1.067 & -0.938890515524 \\
UDS & 13785 & 44.11219 & 45.8902375 & 0.0912766762109 & 10.620136055 & 1.092 & -0.49973737542 \\
EGS & 4637 & 43.60435 & 45.2554375 & -0.543523323789 & 10.5397 & 1.0969 & -1.37024562682 \\
UDS & 20087 & 42.97001 & 44.4625125 & -1.33644832379 & 10.3944516808 & 1.1 & -1.49313312682 \\
EGS & 19740 & 43.27753 & 44.8469125 & -0.952048323789 & 10.5254 & 1.1033 & -0.752440515524 \\
EGS & 3515 & 43.23452 & 44.79315 & -1.00581082379 & 9.51116 & 1.106 & -0.816222025969 \\
EGS & 30853 & 43.23808 & 44.7976 & -1.00136082379 & 10.6995 & 1.12 & -0.794815515524 \\
COS & 977 & 43.30405 & 44.8800625 & -0.918898323789 & 10.5883 & 1.122 & -0.993978015524 \\
GDS & 14875 & 42.49678 & 43.870975 & -1.92798582379 & 9.85 & 1.124 & -0.875966661519 \\
COS & 22709 & 44.14889 & 45.9361125 & 0.137151676211 & 10.1813 & 1.1285 & -0.782103015524 \\
UDS & 11848 & 43.26482 & 44.831025 & -0.967935823789 & 10.8830933586 & 1.141 & -0.489715515524 \\
COS & 18380 & 43.99194 & 45.739925 & -0.0590358237891 & 10.4045 & 1.157 & -0.612822025969 \\
UDS & 23181 & 43.23678 & 44.795975 & -1.00298582379 & 10.1583624921 & 1.16 & -0.659854161519 \\
UDS & 3452 & 43.44355 & 45.0544375 & -0.744523323789 & 10.2624510897 & 1.162 & -0.591634525969 \\
UDS & 15785 & 43.17737 & 44.7217125 & -1.07724832379 & 10.5646660643 & 1.163 & -0.854140515524 \\
UDS & 13911 & 43.87086 & 45.588575 & -0.210385823789 & 10.4996870826 & 1.172 & -1.39990812682 \\
EGS & 17481 & 42.60845 & 44.0105625 & -1.78839832379 & 10.7241 & 1.174 & -1.88317492105 \\
UDS & 579 & 44.00938 & 45.761725 & -0.0372358237891 & 10.3263358609 & 1.19 & -0.451797025969 \\
EGS & 6840 & 43.46237 & 45.0779625 & -0.720998323789 & 10.94 & 1.196 & -0.570228015524 \\
