\begin{table}
\begin{tabular}{ccccccccccccccc}
field & ID & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR \\
COS & 1855 & 10.4292 & 0.75 & 5.28 & 0.2 & 10.65 & 0.122 & 0.0194 & 42.5205466956 & 44.2242368546 & 0.877449368377 & 43.0434653298 & 44.5543316623 & -1.24462916152 \\
EGS & 10811 & 8.8339 & 0.7508 & 5.28 & 0.3 & 10.81 & 0.031 & 0.0489 & 43.0820538248 & 44.3709711474 & 1.02418366114 & 43.2338162466 & 44.7922703083 & -1.00669051552 \\
UDS & 6775 & 10.372912003 & 0.7517 & 3.96 & 0.05 & 10.75 & 0.108 & -0.0001 & nan & nan & nan & nan & nan & 0.0 \\
COS & 10454 & 8.49693 & 0.752 & 4.62 & 0.2 & 10.22 & 0.035 & 0.0194 & 42.0905466956 & 43.7942368546 & 0.447449368377 & 42.8976953298 & 44.3721191623 & -1.42684166152 \\
UDS & 24197 & 10.1760912591 & 0.753 & 3.5 & 0.1 & 10.68 & 0.136 & 0.0031 & 41.7541066595 & 44.2613965617 & 0.914609075465 & 42.7836421576 & 44.229552697 & -1.56940812682 \\
COS & 14797 & 9.20137 & 0.754 & 5.28 & 0.2 & 10.79 & 0.07 & 0.0194 & 42.6605466956 & 44.3642368546 & 1.01744936838 & 43.0909253298 & 44.6136566623 & -1.18530416152 \\
UDS & 23927 & 10.0530784435 & 0.7583 & 5.2800002 & 0.1 & 10.67 & 0.116 & 0.0031 & 41.7441066595 & 44.2513965617 & 0.904609075465 & 42.7802521576 & 44.225315197 & -1.57364562682 \\
EGS & 17077 & 10.1782 & 0.759 & 3.5 & 0.1 & 11.23 & 0.312 & 0.0031 & 42.3041066595 & 44.8113965617 & 1.46460907546 & 42.9700921576 & 44.462615197 & -1.33634562682 \\
UDS & 15468 & 9.54530711647 & 0.759 & 4.6199999 & 0.1 & 10.36 & 0.057 & 0.0031 & 41.4341066595 & 43.9413965617 & 0.594609075465 & 42.6751621576 & 44.093952697 & -1.70500812682 \\
EGS & 30507 & 10.7484 & 0.7603 & 5.28 & 0.3 & 11.05 & 0.226 & 0.0489 & 43.3220538248 & 44.6109711474 & 1.26418366114 & 43.3151762466 & 44.8939703083 & -0.904990515524 \\
COS & 2500 & 10.4122 & 0.761 & 5.28 & 0.2 & 11.18 & 0.23 & 0.0194 & 43.0505466956 & 44.7542368546 & 1.40744936838 & 43.2231353298 & 44.7789191623 & -1.02004166152 \\
GDS & 24554 & 10.77 & 0.761 & 5.28 & 0.3 & 11.52 & 0.756 & 0.0489 & 43.7920538248 & 45.0809711474 & 1.73418366114 & 43.4745062466 & 45.0931328083 & -0.705828015524 \\
