\begin{table}
\begin{tabular}{cccccccccccccccccc}
field & ID & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR & sSFR & dist_MS & dist_MS_lin \\
COS & 1855 & 10.4292 & 0.75 & 5.28 & 0.2 & 10.65 & 0.122 & 0.0194 & 42.5205466956 & 44.2242368546 & 0.877449368377 & 43.0434653298 & 44.5543316623 & -1.24462916152 & -9.55175063162 & -11.3523935643 & -11.1847243121 \\
COS & 10454 & 8.49693 & 0.752 & 4.62 & 0.2 & 10.22 & 0.035 & 0.0194 & 42.0905466956 & 43.7942368546 & 0.447449368377 & 42.8976953298 & 44.3721191623 & -1.42684166152 & -8.04948063162 & -9.85012356432 & -9.68245431207 \\
COS & 14797 & 9.20137 & 0.754 & 5.28 & 0.2 & 10.79 & 0.07 & 0.0194 & 42.6605466956 & 44.3642368546 & 1.01744936838 & 43.0909253298 & 44.6136566623 & -1.18530416152 & -8.18392063162 & -9.98456356432 & -9.81689431206 \\
COS & 2500 & 10.4122 & 0.761 & 5.28 & 0.2 & 11.18 & 0.23 & 0.0194 & 43.0505466956 & 44.7542368546 & 1.40744936838 & 43.2231353298 & 44.7789191623 & -1.02004166152 & -9.00475063162 & -10.8053935643 & -10.6377243121 \\
COS & 543 & 10.5346 & 0.788 & 4.62 & 0.3 & 10.65 & 0.151 & 0.0489 & 42.9220538248 & 44.2109711474 & 0.864183661141 & 43.1795762466 & 44.7244703083 & -1.07449051552 & -9.67041633886 & -11.4710592716 & -11.3033900193 \\
COS & 4869 & 9.77306 & 0.79 & 5.94 & 0.5 & 10.57 & 0.098 & 0.1475 & 43.321536986 & 44.0834393534 & 0.736651867131 & 43.3150010383 & 44.8937512978 & -0.905209525969 & -9.03640813287 & -10.8370510656 & -10.6693818133 \\
COS & 27642 & 9.66947 & 0.79 & 3.96 & 0.1 & 10.54 & 0.062 & 0.0031 & 41.6141066595 & 44.1213965617 & 0.774609075465 & 42.7361821576 & 44.170227697 & -1.62873312682 & -8.89486092454 & -10.6955038572 & -10.527834605 \\
COS & 8142 & 10.3407 & 0.79 & 4.62 & 0.3 & 10.74 & 0.26 & 0.0489 & 43.0120538248 & 44.3009711474 & 0.954183661141 & 43.2100862466 & 44.7626078083 & -1.03635301552 & -9.38651633886 & -11.1871592716 & -11.0194900193 \\
COS & 24980 & 10.4451 & 0.7926 & 3.5 & 0.1 & 10.77 & 0.066 & 0.0031 & 41.8441066595 & 44.3513965617 & 1.00460907546 & 42.8141521576 & 44.267690197 & -1.53127062682 & -9.44049092454 & -11.2411338572 & -11.073464605 \\
COS & 5356 & 10.579 & 0.7937 & 4.62 & 0.2 & 11.13 & 0.3 & 0.0194 & 43.0005466956 & 44.7042368546 & 1.35744936838 & 43.2061853298 & 44.7577316623 & -1.04122916152 & -9.22155063162 & -11.0221935643 & -10.8545243121 \\
COS & 12296 & 9.28987 & 0.8 & 5.28 & 0.7 & 11.17 & 0.185 & 0.2989 & 44.2282708807 & 44.5985249328 & 1.25173744658 & 43.6223838286 & 45.2779797857 & -0.520981038079 & -8.03813255342 & -9.83877548612 & -9.67110623386 \\
COS & 22365 & 10.3914 & 0.8 & 4.62 & 0.4 & 11.57 & 0.592 & 0.0916 & 44.1146404394 & 45.1110220912 & 1.76423460501 & 43.5838631089 & 45.2298288862 & -0.569131937611 & -8.62716539499 & -10.4278083277 & -10.2601390754 \\
COS & 25559 & 8.93111 & 0.8006 & 7.92 & 0.6 & 10.45 & 0.05 & 0.2166 & 43.368403418 & 43.9267285329 & 0.579941046678 & 43.3308887587 & 44.9136109484 & -0.88534987542 & -8.35116895332 & -10.151811886 & -9.98414263377 \\
COS & 28370 & 8.84359 & 0.807 & 5.28 & 0.2 & 10.18 & 0.026 & 0.0194 & 42.0505466956 & 43.7542368546 & 0.407449368377 & 42.8841353298 & 44.3551691623 & -1.44379166152 & -8.43614063162 & -10.2367835643 & -10.0691143121 \\
COS & 270 & 10.4723 & 0.81 & 4.62 & 0.2 & 11.12 & 0.162 & 0.0194 & 42.9905466956 & 44.6942368546 & 1.34744936838 & 43.2027953298 & 44.7534941623 & -1.04546666152 & -9.12485063162 & -10.9254935643 & -10.7578243121 \\
COS & 19671 & 9.95086 & 0.81 & 4.62 & 0.1 & 10.62 & 0.073 & 0.0031 & 41.6941066595 & 44.2013965617 & 0.854609075465 & 42.7633021576 & 44.204127697 & -1.59483312682 & -9.09625092454 & -10.8968938572 & -10.729224605 \\
COS & 12246 & 10.447 & 0.814 & 4.62 & 0.2 & 10.69 & 0.139 & 0.0194 & 42.5605466956 & 44.2642368546 & 0.917449368377 & 43.0570253298 & 44.5712816623 & -1.22767916152 & -9.52955063162 & -11.3301935643 & -11.1625243121 \\
COS & 25452 & 10.3 & 0.822 & 3.5 & 0.3 & 10.53 & 0.157 & 0.0489 & 42.8020538248 & 44.0909711474 & 0.744183661141 & 43.1388962466 & 44.6736203083 & -1.12534051552 & -9.55581633886 & -11.3564592716 & -11.1887900193 \\
COS & 21317 & 9.05427 & 0.825 & 5.94 & 0.2 & 10.55 & 0.061 & 0.0194 & 42.4205466956 & 44.1242368546 & 0.777449368377 & 43.0095653298 & 44.5119566623 & -1.28700416152 & -8.27682063162 & -10.0774635643 & -9.90979431207 \\
COS & 1446 & 10.2672 & 0.826 & 3.96 & 0.1 & 10.78 & 0.104 & 0.0031 & 41.8541066595 & 44.3613965617 & 1.01460907546 & 42.8175421576 & 44.271927697 & -1.52703312682 & -9.25259092454 & -11.0532338572 & -10.885564605 \\
COS & 5840 & 10.2832 & 0.83 & 4.62 & 0.3 & 11.03 & 0.326 & 0.0489 & 43.3020538248 & 44.5909711474 & 1.24418366114 & 43.3083962466 & 44.8854953083 & -0.913465515524 & -9.03901633886 & -10.8396592716 & -10.6719900193 \\
COS & 29097 & 9.89999 & 0.83 & 4.62 & 0.3 & 10.92 & 0.154 & 0.0489 & 43.1920538248 & 44.4809711474 & 1.13418366114 & 43.2711062466 & 44.8388828083 & -0.960078015524 & -8.76580633886 & -10.5664492716 & -10.3987800193 \\
COS & 24094 & 9.60643 & 0.83 & 4.62 & 0.2 & 10.71 & 0.083 & 0.0194 & 42.5805466956 & 44.2842368546 & 0.937449368377 & 43.0638053298 & 44.5797566623 & -1.21920416152 & -8.66898063162 & -10.4696235643 & -10.3019543121 \\
COS & 12978 & 10.3667 & 0.832 & 3.96 & 0.3 & 10.9 & 0.276 & 0.0489 & 43.1720538248 & 44.4609711474 & 1.11418366114 & 43.2643262466 & 44.8304078083 & -0.968553015524 & -9.25251633886 & -11.0531592716 & -10.8854900193 \\
COS & 28634 & 9.43294 & 0.832 & 4.62 & 0.3 & 10.34 & 0.041 & 0.0489 & 42.6120538248 & 43.9009711474 & 0.554183661141 & 43.0744862466 & 44.5931078083 & -1.20585301552 & -8.87875633886 & -10.6793992716 & -10.5117300193 \\
COS & 15095 & 10.279 & 0.837 & 4.62 & 0.1 & 11.44 & 0.567 & 0.0031 & 42.5141066595 & 45.0213965617 & 1.67460907546 & 43.0412821576 & 44.551602697 & -1.24735812682 & -8.60439092454 & -10.4050338572 & -10.237364605 \\
COS & 29094 & 9.87123 & 0.838 & 10.56 & 0.1 & 11.27 & 0.335 & 0.0031 & 42.3441066595 & 44.8513965617 & 1.50460907546 & 42.9836521576 & 44.479565197 & -1.31939562682 & -8.36662092454 & -10.1672638572 & -9.99959460498 \\
COS & 18328 & 9.39661 & 0.838 & 5.28 & 0.2 & 10.7 & 0.095 & 0.0194 & 42.5705466956 & 44.2742368546 & 0.927449368377 & 43.0604153298 & 44.5755191623 & -1.22344166152 & -8.46916063162 & -10.2698035643 & -10.1021343121 \\
COS & 26176 & 9.85977 & 0.84 & 3.96 & 0.1 & 10.56 & 0.139 & 0.0031 & 41.6341066595 & 44.1413965617 & 0.794609075465 & 42.7429621576 & 44.178702697 & -1.62025812682 & -9.06516092453 & -10.8658038572 & -10.698134605 \\
COS & 8334 & 10.3955 & 0.84 & 4.62 & 0.2 & 11.07 & 0.292 & 0.0194 & 42.9405466956 & 44.6442368546 & 1.29744936838 & 43.1858453298 & 44.7323066623 & -1.06665416152 & -9.09805063162 & -10.8986935643 & -10.7310243121 \\
COS & 12795 & 10.7404 & 0.844 & 4.62 & 0.2 & 11.05 & 0.308 & 0.0194 & 42.9205466956 & 44.6242368546 & 1.27744936838 & 43.1790653298 & 44.7238316623 & -1.07512916152 & -9.46295063162 & -11.2635935643 & -11.0959243121 \\
COS & 26883 & 9.85455 & 0.847 & 4.62 & 0.1 & 10.81 & 0.137 & 0.0031 & 41.8841066595 & 44.3913965617 & 1.04460907546 & 42.8277121576 & 44.284640197 & -1.51432062682 & -8.80994092454 & -10.6105838572 & -10.442914605 \\
COS & 27475 & 10.7209 & 0.853 & 4.62 & 0.1 & 11.22 & 0.27 & 0.0031 & 42.2941066595 & 44.8013965617 & 1.45460907546 & 42.9667021576 & 44.458377697 & -1.34058312682 & -9.26629092454 & -11.0669338572 & -10.899264605 \\
COS & 11083 & 9.87632 & 0.855 & 4.62 & 0.3 & 10.84 & 0.071 & 0.0489 & 43.1120538248 & 44.4009711474 & 1.05418366114 & 43.2439862466 & 44.8049828083 & -0.993978015524 & -8.82213633886 & -10.6227792716 & -10.4551100193 \\
COS & 20680 & 10.6748 & 0.8558 & 5.28 & 0.3 & 10.84 & 0.269 & 0.0489 & 43.1120538248 & 44.4009711474 & 1.05418366114 & 43.2439862466 & 44.8049828083 & -0.993978015524 & -9.62061633886 & -11.4212592716 & -11.2535900193 \\
COS & 25201 & 10.7667 & 0.856 & 5.28 & 0.3 & 11.34 & 0.599 & 0.0489 & 43.6120538248 & 44.9009711474 & 1.55418366114 & 43.4134862466 & 45.0168578083 & -0.782103015524 & -9.21251633886 & -11.0131592716 & -10.8454900193 \\
COS & 25299 & 9.8572 & 0.856 & 5.28 & 0.1 & 10.37 & 0.044 & 0.0031 & 41.4441066595 & 43.9513965617 & 0.604609075465 & 42.6785521576 & 44.098190197 & -1.70077062682 & -9.25259092454 & -11.0532338572 & -10.885564605 \\
COS & 16745 & 8.35148 & 0.859 & 5.28 & 0.4 & 10.83 & 0.089 & 0.0916 & 43.3746404394 & 44.3710220912 & 1.02423460501 & 43.3330031089 & 44.9162538862 & -0.882706937611 & -7.32724539499 & -9.12788832769 & -8.96021907543 \\
COS & 18565 & 10.5162 & 0.8599 & 4.62 & 0.1 & 11.39 & 0.251 & 0.0031 & 42.4641066595 & 44.9713965617 & 1.62460907546 & 43.0243321576 & 44.530415197 & -1.26854562682 & -8.89159092454 & -10.6922338572 & -10.524564605 \\
