\begin{table}
\begin{tabular}{cccccccccccccccccc}
field & ID & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR & sSFR & dist_MS & dist_MS_lin \\
EGS & 10811 & 8.8339 & 0.7508 & 5.28 & 0.3 & 10.81 & 0.031 & 0.0489 & 43.0820538248 & 44.3709711474 & 1.02418366114 & 43.2338162466 & 44.7922703083 & -1.00669051552 & -7.80971633886 & -9.19788506261 & -8.85990896543 \\
EGS & 17077 & 10.1782 & 0.759 & 3.5 & 0.1 & 11.23 & 0.312 & 0.0031 & 42.3041066595 & 44.8113965617 & 1.46460907546 & 42.9700921576 & 44.462615197 & -1.33634562682 & -8.71359092454 & -10.1017596483 & -9.76378355111 \\
EGS & 30507 & 10.7484 & 0.7603 & 5.28 & 0.3 & 11.05 & 0.226 & 0.0489 & 43.3220538248 & 44.6109711474 & 1.26418366114 & 43.3151762466 & 44.8939703083 & -0.904990515524 & -9.48421633886 & -10.8723850626 & -10.5344089654 \\
EGS & 25400 & 9.68499 & 0.762 & 4.62 & 0.1 & 10.93 & 0.062 & 0.0031 & 42.0041066595 & 44.5113965617 & 1.16460907546 & 42.8683921576 & 44.335490197 & -1.46347062682 & -8.52038092454 & -9.90854964829 & -9.57057355111 \\
EGS & 29750 & 9.44196 & 0.762 & 4.62 & 0.1 & 10.11 & 0.03 & 0.0031 & 41.1841066595 & 43.6913965617 & 0.344609075465 & 42.5904121576 & 43.988015197 & -1.81094562682 & -9.09735092454 & -10.4855196483 & -10.1475435511 \\
EGS & 17004 & 10.0071 & 0.7627 & 4.62 & 0.3 & 10.91 & 0.169 & 0.0489 & 43.1820538248 & 44.4709711474 & 1.12418366114 & 43.2677162466 & 44.8346453083 & -0.964315515524 & -8.88291633886 & -10.2710850626 & -9.93310896543 \\
EGS & 16536 & 8.61834 & 0.765 & 4.62 & 0.2 & 10.18 & 0.025 & 0.0194 & 42.0505466956 & 43.7542368546 & 0.407449368377 & 42.8841353298 & 44.3551691623 & -1.44379166152 & -8.21089063162 & -9.59905935538 & -9.26108325819 \\
EGS & 19336 & 9.75974 & 0.767 & 3.96 & 0.1 & 10.86 & 0.107 & 0.0031 & 41.9341066595 & 44.4413965617 & 1.09460907546 & 42.8446621576 & 44.305827697 & -1.49313312682 & -8.66513092454 & -10.0532996483 & -9.71532355111 \\
EGS & 5803 & 9.96543 & 0.767 & 3.5 & 0.1 & 11.39 & 0.489 & 0.0031 & 42.4641066595 & 44.9713965617 & 1.62460907546 & 43.0243321576 & 44.530415197 & -1.26854562682 & -8.34082092454 & -9.72898964829 & -9.39101355111 \\
EGS & 25232 & 10.3451 & 0.768 & 3.96 & 0.1 & 10.46 & 0.203 & 0.0031 & 41.5341066595 & 44.0413965617 & 0.694609075465 & 42.7090621576 & 44.136327697 & -1.66263312682 & -9.65049092454 & -11.0386596483 & -10.7006835511 \\
