\begin{table}
\begin{tabular}{cccccccccccccccccc}
field & ID & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR & sSFR & dist_MS & dist_MS_lin \\
GDS & 24554 & 10.77 & 0.761 & 5.28 & 0.3 & 11.52 & 0.756 & 0.0489 & 43.7920538248 & 45.0809711474 & 1.73418366114 & 43.4745062466 & 45.0931328083 & -0.705828015524 & -9.03581633886 & -10.8044328337 & -10.5841475759 \\
GDS & 24003 & 9.67 & 0.768 & 8.58 & 0.1 & 10.77 & 0.056 & 0.0031 & 41.8441066595 & 44.3513965617 & 1.00460907546 & 42.8141521576 & 44.267690197 & -1.53127062682 & -8.66539092454 & -10.4340074194 & -10.2137221616 \\
GDS & 21118 & 9.51 & 0.8068 & 3.96 & 0.02 & 10.05 & 0.031 & -0.000436 & nan & nan & nan & nan & nan & 0.0 & nan & nan & nan \\
GDS & 21244 & 9.72 & 0.814 & 5.28 & 0.1 & 10.49 & 0.029 & 0.0031 & 41.5641066595 & 44.0713965617 & 0.724609075465 & 42.7192321576 & 44.149040197 & -1.64992062682 & -8.99539092454 & -10.7640074194 & -10.5437221616 \\
GDS & 1864 & 9.61 & 0.824 & 5.28 & 0.1 & 10.68 & 0.078 & 0.0031 & 41.7541066595 & 44.2613965617 & 0.914609075465 & 42.7836421576 & 44.229552697 & -1.56940812682 & -8.69539092453 & -10.4640074194 & -10.2437221616 \\
GDS & 24716 & 9.85 & 0.837 & 3.5 & 0.4 & 12.24 & 0.604 & 0.0916 & 44.7846404394 & 45.7810220912 & 2.43423460501 & 43.8109931089 & 45.5137413862 & -0.285219437611 & -7.41576539499 & -9.18438188982 & -8.96409663202 \\
GDS & 15787 & 9.99 & 0.837 & 4.62 & 0.2 & 10.98 & 0.157 & 0.0194 & 42.8505466956 & 44.5542368546 & 1.20744936838 & 43.1553353298 & 44.6941691623 & -1.10479166152 & -8.78255063162 & -10.5511671264 & -10.3308818686 \\
GDS & 18585 & 9.48 & 0.8372 & 3.96 & 0.2 & 10.47 & 0.048 & 0.0194 & 42.3405466956 & 44.0442368546 & 0.697449368377 & 42.9824453298 & 44.4780566623 & -1.32090416152 & -8.78255063162 & -10.5511671265 & -10.3308818687 \\
GDS & 20585 & 9.46 & 0.839 & 5.28 & 0.3 & 11.54 & 0.225 & 0.0489 & 43.8120538248 & 45.1009711474 & 1.75418366114 & 43.4812862466 & 45.1016078083 & -0.697353015524 & -7.70581633886 & -9.47443283369 & -9.25414757589 \\
GDS & 26213 & 9.36 & 0.8479 & 3.96 & 0.1 & 10.79 & 0.036 & 0.0031 & 41.8641066595 & 44.3713965617 & 1.02460907546 & 42.8209321576 & 44.276165197 & -1.52279562682 & -8.33539092454 & -10.1040074194 & -9.88372216157 \\
GDS & 18233 & 8.8 & 0.858 & 6.6 & 0.1 & 10.05 & 0.018 & 0.0031 & 41.1241066595 & 43.6313965617 & 0.284609075465 & 42.5700721576 & 43.962590197 & -1.83637062682 & -8.51539092454 & -10.2840074194 & -10.0637221616 \\
GDS & 23028 & 9.4 & 0.863 & 3.96 & 0.1 & 10.19 & 0.028 & 0.0031 & 41.2641066595 & 43.7713965617 & 0.424609075465 & 42.6175321576 & 44.021915197 & -1.77704562682 & -8.97539092454 & -10.7440074194 & -10.5237221616 \\
