\begin{table}
\begin{tabular}{ccc}
flux & redshift & dist \\
0.787488769845 & 0.0415948347984 & 175.631237289 \\
0.295252391934 & 0.134143024989 & 566.409400751 \\
0.381448200826 & 0.146790438534 & 619.812206657 \\
0.941236432995 & 0.153992390899 & 650.221939282 \\
0.733407908894 & 0.227765631334 & 961.724210155 \\
0.449953422192 & 0.243374738151 & 1027.63255566 \\
0.775222142583 & 0.268768192397 & 1134.85461364 \\
0.28820544929 & 0.274551403424 & 1159.27381167 \\
0.290216932976 & 0.295400672493 & 1247.30837031 \\
0.458111821811 & 0.319682810088 & 1349.83797262 \\
0.383859787589 & 0.33421327394 & 1411.19182477 \\
0.829038845103 & 0.33849791823 & 1429.28343114 \\
0.998949572676 & 0.376887863866 & 1591.38225144 \\
0.0554373574613 & 0.392806265867 & 1658.59657391 \\
0.758598140925 & 0.411560311112 & 1737.78419869 \\
0.649001099069 & 0.416686721757 & 1759.43010373 \\
0.307299440892 & 0.446246733536 & 1884.24515512 \\
0.77541281228 & 0.465160544683 & 1964.10738008 \\
0.894593231925 & 0.50829115399 & 2146.22331621 \\
0.0873728936933 & 0.529507255052 & 2235.8067969 \\
0.746166429997 & 0.537183610211 & 2268.21966165 \\
0.757014361297 & 0.537984850918 & 2271.60284365 \\
0.303210879228 & 0.553580511767 & 2337.45441452 \\
0.557262445905 & 0.57981646736 & 2448.23387463 \\
0.169306003945 & 0.587284613558 & 2479.76759181 \\
0.0944193427945 & 0.591540552452 & 2497.73799168 \\
0.599807100839 & 0.592369796132 & 2501.23941425 \\
0.690315091972 & 0.60237329755 & 2543.47848888 \\
0.109395962531 & 0.608946176136 & 2571.23200213 \\
0.215020649522 & 0.617739570098 & 2608.36148393 \\
0.895109144811 & 0.624449207572 & 2636.69245188 \\
0.432489247499 & 0.630229470343 & 2661.09920111 \\
0.4020432365 & 0.638573842767 & 2696.33272134 \\
0.862936142627 & 0.65016835405 & 2745.28972218 \\
0.696891620283 & 0.674233178775 & 2846.90173632 \\
0.750229642326 & 0.691872237402 & 2921.38140925 \\
0.681627651977 & 0.692019113765 & 2922.00158426 \\
0.529301043946 & 0.701128419525 & 2960.4649812 \\
0.13270581802 & 0.70537087588 & 2978.37845201 \\
0.0556539143049 & 0.734942742308 & 3103.24355881 \\
0.0414764102056 & 0.735984318707 & 3107.64154122 \\
0.266901125813 & 0.764879306853 & 3229.64857753 \\
0.102338830686 & 0.765153395385 & 3230.8058969 \\
0.79332188371 & 0.771391757673 & 3257.14693882 \\
0.246364418935 & 0.778694868241 & 3287.98380478 \\
0.0883553752333 & 0.79071366388 & 3338.7323162 \\
