\begin{table}
\begin{tabular}{ccccccccccccccccccccccccccc}
field_1 & ID & zbest_candels & gfit_n_h & SD_reliable & Irr_reliable & Compact_reliable & s14_RA & s14_Dec & visualHCPG_f_spheroid & visualHCPG_f_disk & visualHCPG_f_irr & visualHCPG_f_ps & field_2 & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR \\
GDS & 196 & 0.94 & 1.4 & -99.0 & -99.0 & -99.0 & 53.14 & -27.94 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 10.34 & 2.117 & 7.92 & 0.2 & 11.13 & 0.059 & 0.0194 & 43.0005466956 & 44.7042368546 & 1.35744936838 & 43.2061853298 & 44.7577316623 & -1.04122916152 \\
GDS & 267 & 1.09 & 0.96 & 0.0 & 0.33 & 0.0 & 53.11 & -27.94 & 0.1 & 0.87 & 0.29 & 0.0 & GDS & 9.95 & 1.083 & 4.62 & 0.1 & 10.78 & 0.072 & 0.0031 & 41.8541066595 & 44.3613965617 & 1.01460907546 & 42.8175421576 & 44.271927697 & -1.52703312682 \\
GDS & 1033 & 1.8 & 0.2 & 0.25 & 0.38 & 0.0 & 53.12 & -27.92 & 0.11 & 0.72 & 0.5 & 0.0 & GDS & 10.03 & 1.798 & 5.28 & 0.2 & 11.15 & 0.071 & 0.0194 & 43.0205466956 & 44.7242368546 & 1.37744936838 & 43.2129653298 & 44.7662066623 & -1.03275416152 \\
GDS & 1191 & 1.67 & 0.88 & 0.0 & 0.62 & 0.0 & 53.11 & -27.91 & 0.09 & 0.6 & 0.66 & 0.0 & GDS & 10.15 & 1.669 & 5.28 & 0.2 & 11.27 & 0.078 & 0.0194 & 43.1405466956 & 44.8442368546 & 1.49744936838 & 43.2536453298 & 44.8170566623 & -0.981904161519 \\
GDS & 1194 & 2.12 & 0.72 & 0.0 & 0.25 & 0.0 & 53.17 & -27.91 & 0.04 & 0.8 & 0.28 & 0.0 & GDS & 10.09 & 2.147 & 5.94 & 0.2 & 11.04 & 0.053 & 0.0194 & 42.9105466956 & 44.6142368546 & 1.26744936838 & 43.1756753298 & 44.7195941623 & -1.07936666152 \\
GDS & 1239 & 2.0 & 0.91 & 0.0 & 0.38 & 0.0 & 53.18 & -27.91 & 0.0 & 0.91 & 0.19 & 0.03 & GDS & 10.34 & 1.996 & 6.6 & 0.2 & 11.16 & 0.075 & 0.0194 & 43.0305466956 & 44.7342368546 & 1.38744936838 & 43.2163553298 & 44.7704441623 & -1.02851666152 \\
GDS & 1379 & 1.11 & 1.73 & 0.92 & 0.0 & 0.25 & 53.22 & -27.91 & 0.89 & 0.46 & 0.0 & 0.11 & GDS & 9.43 & 1.071 & 3.96 & 0.06 & 10.27 & 0.025 & 0.000276 & 40.2936540478 & 43.8526250839 & 0.505837597645 & 42.2885487222 & 43.6106859027 & -2.18827492105 \\
GDS & 1404 & 1.1 & 4.41 & 1.0 & 0.62 & 0.0 & 53.18 & -27.91 & 0.74 & 0.0 & 0.92 & 0.01 & GDS & 9.47 & 1.1043 & 4.62 & 0.1 & 10.5 & 0.038 & 0.0031 & 41.5741066595 & 44.0813965617 & 0.734609075465 & 42.7226221576 & 44.153277697 & -1.64568312682 \\
GDS & 1446 & 1.31 & 0.6 & 0.0 & 0.0 & 0.0 & 53.19 & -27.91 & 0.01 & 0.99 & 0.07 & 0.01 & GDS & 9.83 & 1.315 & 4.62 & 0.2 & 10.83 & 0.032 & 0.0194 & 42.7005466956 & 44.4042368546 & 1.05744936838 & 43.1044853298 & 44.6306066623 & -1.16835416152 \\
GDS & 1482 & 2.1 & 0.48 & 0.0 & 0.75 & 0.0 & 53.15 & -27.91 & 0.01 & 0.55 & 0.83 & 0.0 & GDS & 10.5 & 1.575 & 5.28 & 0.3 & 11.46 & 0.155 & 0.0489 & 43.7320538248 & 45.0209711474 & 1.67418366114 & 43.4541662466 & 45.0677078083 & -0.731253015524 \\
GDS & 1528 & 1.63 & 0.57 & -99.0 & -99.0 & -99.0 & 53.11 & -27.91 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 10.22 & 1.634 & 5.94 & 0.3 & 11.2 & 0.073 & 0.0489 & 43.4720538248 & 44.7609711474 & 1.41418366114 & 43.3660262466 & 44.9575328083 & -0.841428015524 \\
